utterance_id,speaker_id,duration_s,reference,hypothesis,categories
da00a33ed1,c0b4e,3.4,सबै सम्झौताहरू,सबै सम्जूताहरू,oov_rare_vocabulary;phonetic_confusion
dd3c82d451,c0b4e,4.5,सम्मानयुक्त बनाउन,सम्मान्यूक्त बनाउन,oov_rare_vocabulary;phonetic_confusion
1525eb90ad,c0b4e,3.4,सम्मानित गरेको थियो,सम्मानि गरेको चियो,oov_rare_vocabulary;phonetic_confusion
1ee130a4c6,c0b4e,3.0,साथै केही लामा,सातैक यहीलामा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
dda644689e,c0b4e,3.0,सामूहिक खेल हो,साम हो खेलो,noise_degradation;oov_rare_vocabulary;phonetic_confusion
da27d6946e,c0b4e,3.5,सामेल गरिएका थिए,सामेल गर्यका थिए,oov_rare_vocabulary;phonetic_confusion
0aa1764bc8,c0b4e,3.2,सुकीलाई सात वर्षको,सुकिलाई साद बर्षोको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
34b4c22b4e,c0b4e,2.8,हत्या गर्ने उनको,अत्यागर्ने उनको,oov_rare_vocabulary;phonetic_confusion
0fc473136d,c0b4e,2.8,हामी आफ्ना अनेक,हामी आफना अनिक,oov_rare_vocabulary;phonetic_confusion
0098d95c74,da6d1,3.5,१ हजार अमूल्य,एक हजार अम्मूल्य,oov_rare_vocabulary;phonetic_confusion
7540075c73,da6d1,2.5,४ ओभरमा,कार वरमा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
729704043b,da6d1,4.7,७५ बल खेल्ने क्रममा,पचतर बल खेल्नेक्रममा,oov_rare_vocabulary;phonetic_confusion
13033862c9,da6d1,3.7,अन्तर्गत गरिन्छ,अन्तर्गत गरिन्छ,other
10191c29d5,da6d1,4.1,अस्वीकार गरिदिए कि,अस्विकार गरिदि एकी,noise_degradation;oov_rare_vocabulary;phonetic_confusion
da0f333bdf,da6d1,3.7,आठौँमा ६२,आठमा बैसत्थि,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1d05fd7111,da6d1,3.3,आफ्नो सेवाहरू दिए,आफ्नो सेवाहारू दिए,oov_rare_vocabulary
0b19fd1369,da6d1,3.5,आमा किरण यादवको,आमा किरन यादवको,oov_rare_vocabulary;phonetic_confusion
783b648676,da6d1,4.7,ईपू ९०२ का अनुसार,ईपून अछे दूईका अनुसार,phonetic_confusion
3bec3f16d5,da6d1,3.9,उत्तर पश्चिममा मध्यप्रदेशको,उत्तर पसिमा मत्य प्रदेसको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
36e2f4ca9f,da6d1,4.0,उनी देवता हुन्,उनी देवता हुन,oov_rare_vocabulary
7538619a18,da6d1,3.2,उनीलाई यस कामको,उनुना यस कामको,oov_rare_vocabulary;phonetic_confusion
89ff503522,da6d1,4.1,उपलब्धिहरूलाई अचेल,उपूलाप्यहरूलाय अछल,noise_degradation;oov_rare_vocabulary;phonetic_confusion
047911be4d,da6d1,4.1,एक बायोग्राफरले उनलाई,एक बाएक्राफरले उन्नाइ,oov_rare_vocabulary;phonetic_confusion
8ad7a75444,da6d1,4.6,एक मध्यस्थकर्ताको सहयोगले,एकमा देस्तकर्ताको सयोकले,noise_degradation;oov_rare_vocabulary;phonetic_confusion
17d5cab8c0,da6d1,3.6,कतिपय यस्ता नेपालीहरू,कदिपायस्था नेपालीहरू,oov_rare_vocabulary;phonetic_confusion
18f08c2f28,da6d1,3.2,कमिटीमा रहेर,कमितमा रहेर,oov_rare_vocabulary;phonetic_confusion
14f5917160,da6d1,2.5,कसैले पनि,कसले बनि,noise_degradation;oov_rare_vocabulary;phonetic_confusion
d631cfe3d4,da6d1,3.8,कार्यक्रमहरूमा सहभागी हुने,कादेक्रमहरूमा सहवबागी उने,noise_degradation;oov_rare_vocabulary;phonetic_confusion
74a1272119,da6d1,3.2,कि जस दलको,कि जस तलको,oov_rare_vocabulary;phonetic_confusion
097667d69b,da6d1,2.8,कुनै पनि लेख,कुनैबन इलेक,noise_degradation;oov_rare_vocabulary;phonetic_confusion
0feebb97fd,da6d1,4.7,केही गीतहरू कव्वालीको,क्यगितहरू कवालिको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
3381cade9f,da6d1,4.6,क्षेत्रका स्थानीयवासीको उपचारमा,क्षेत्रकास्तानियबासीको उपचारमा,oov_rare_vocabulary;phonetic_confusion
18e1dfcdad,da6d1,3.7,क्षेत्र भेरी अञ्चलको,क्षेत्र बेरी अन्छलको,oov_rare_vocabulary;phonetic_confusion
171680159a,da6d1,4.2,क्षेत्रसँग जोडेका छन्,क्षेत्तसंग जोडेका छन्,oov_rare_vocabulary;phonetic_confusion
31d7c962ae,da6d1,3.5,गराउन तपाईँले थालेको,घराउन तपाइले थालेको,oov_rare_vocabulary;phonetic_confusion
d2002fdc6c,da6d1,3.3,गर्छु अनि नाम,घर्छ अनिनाम,noise_degradation;oov_rare_vocabulary;phonetic_confusion
757995baef,da6d1,2.9,गर्न सक्ने छन्,घर्नो सकने छन्,oov_rare_vocabulary;phonetic_confusion
702dc92557,da6d1,3.9,गोरखा राज्यको विस्तारबाट,कर्खाराजीको विस्तारबाट,oov_rare_vocabulary;phonetic_confusion
84be64db9b,da6d1,4.1,गोर्खाली दुधालु रसिलो,घर्खाली दूदालू रसीलो,noise_degradation;oov_rare_vocabulary;phonetic_confusion
3ec785591d,da6d1,4.1,चन्द्रबिन्दु लगाउन सिफ्ट,चन्दमिन्दूलगाउनो सिफ्त,noise_degradation;oov_rare_vocabulary;phonetic_confusion
d7fad1e9a4,da6d1,4.2,चराचुरुङ्गी लेकतिरबाट बेसीतिर,क्षराकोनुङ्गी लेक चिराबाट वेसितिरा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
d8b3a0b1d0,da6d1,3.7,चाहेको मात्र थिएँ,चाहाएको मात्त थिए,noise_degradation;oov_rare_vocabulary;phonetic_confusion
766591ebf1,da6d1,3.5,चोट लागेर लड्न,चोटलागालार लड्ना,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1f6bde385f,da6d1,3.7,चौतारा नगरपालिका,४४ आर्पालिका,noise_degradation;oov_rare_vocabulary;phonetic_confusion
75d72b0f35,da6d1,3.1,छिर्ने गर्दछन्,क्षिन्ने गर्द छन्,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1272c9113c,da6d1,4.3,छोराछोरी नातिनातिना समेत,छोराचोरी नातिनातिना समेत,oov_rare_vocabulary;phonetic_confusion
169d36d68b,da6d1,2.8,ज त जा,जत जा,other
dc3d4a3a81,da6d1,4.2,जातीय स्वायत्त राज्यहरूको,जातिय स्वाइत्त राज्यहरूको,oov_rare_vocabulary;phonetic_confusion
7cbf613bcf,da6d1,4.0,जानुहुनेछ भन्ने आशा छ,जानो हुनेछ भन्यासासा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
88b002d681,da6d1,3.6,जिल्ला अध्यक्ष बन्नुभयो,जिल्लाआदक्य बन्नुभयो,oov_rare_vocabulary;phonetic_confusion
0424597517,da6d1,3.5,जीवनको सुरुवात गर्ने,जीवनको सूरूवाद गर्ने,oov_rare_vocabulary;phonetic_confusion
7c523e47d4,da6d1,2.6,जेलमा राखियो,जेलमा राखियो,other
791f336331,da6d1,4.2,तगडा समर्थन मिल्यो,तगढा समर्थन मिल्लो,oov_rare_vocabulary;phonetic_confusion
829d73123f,da6d1,3.8,तरङ्ग लम्बाइ श्वेत,तरङ्ग लम्बाई स्वयत,oov_rare_vocabulary;phonetic_confusion
7e3d6c440b,da6d1,3.8,तिब्बती संविधानमा संशोधन,तिवबत्य सम्विदामा सम्सोदन,noise_degradation;oov_rare_vocabulary;phonetic_confusion
3449b7f5ce,da6d1,4.2,त्यसको लागि पोपको,त्यसको लागी पोपको,oov_rare_vocabulary;phonetic_confusion
896f3f60c0,da6d1,3.0,त्यसबाट थाहा हुन्छ,त्यसमात थाहाँन्छ,noise_degradation;oov_rare_vocabulary;phonetic_confusion
13a5a88f84,da6d1,3.3,त्यसैले उनलाई सानै,त्यसले १९५,dialect_accent;noise_degradation;oov_rare_vocabulary;phonetic_confusion
32a0098f11,da6d1,2.9,थारू समाजमा तबदेखि,थारो समाजमा तबदेखि,oov_rare_vocabulary;phonetic_confusion
1987cd8473,da6d1,2.4,दान गर्न,बान गर्न,phonetic_confusion
7aff7a8c5d,da6d1,2.7,दिएको बताए,देएको बताए,oov_rare_vocabulary;phonetic_confusion
d9f339d7ff,da6d1,3.9,दिन दीप प्रज्ज्वलन,दिन्ती प्रज्वलन,noise_degradation;oov_rare_vocabulary;phonetic_confusion
88a3584a02,da6d1,3.0,दौड वा रन लिँदा,दोड्वा रनलिदा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
d626fd3996,da6d1,3.7,धार्मिक चाडपर्वको साथै,धार्मिक चार्पर्प्र वर्दो साथै,oov_rare_vocabulary;phonetic_confusion
df8dde44c4,da6d1,2.8,धार्मिक पुस्तक हो,ठामिक पुस्तको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
d9931e19ec,da6d1,3.9,नभएर उसको परिवार,नबाएर उसको परिवार,oov_rare_vocabulary;phonetic_confusion
d5edf43f56,da6d1,4.7,नसकिदासम्म भान्जा सम्झी,नसकिदासम्मा भान्जासम्सी,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1dd57dfb74,da6d1,3.8,निरन्तर प्रभावसाली प्रदर्शनहरूको,निर्न्तर प्रबाव सारी प्रदसनाहरूको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
dc4c102821,da6d1,4.1,निर्माण सम्बन्धमा जानकारी,निरमान सम्बन्दमा जामकारी,noise_degradation;oov_rare_vocabulary;phonetic_confusion
7435819184,da6d1,3.6,निवारण सन्तान लाभ,निमारन चन्तानलाव,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1849a12485,da6d1,4.1,नेपाल महासचिव हुनुहुन्थ्यो,नेपाल महास चोचिप हुनुहुन्त्यो,noise_degradation;oov_rare_vocabulary;phonetic_confusion
83d4ae14c5,da6d1,3.7,नेपालीमा यस्तै हुन्छ,नेपालीमा यस्तै फुन्छ,oov_rare_vocabulary;phonetic_confusion
197a217d49,da6d1,3.2,नेपाली मेरो मातृभाषा,नेपाली मेरो मात्त्रीभाषा,oov_rare_vocabulary;phonetic_confusion
768c774431,da6d1,2.9,पश्चिम नेपालको,पश्विम निपालको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
80ef4cdb74,da6d1,4.1,प्रतिदिन लोटस टेम्पलमा,प्रतिदिन लोटस तेम्पलमा,oov_rare_vocabulary;phonetic_confusion
196f84ed1c,da6d1,3.5,प्रसारको कारण हुन्छ,प्रसालको कारण हुन्छ,oov_rare_vocabulary;phonetic_confusion
